Nome, Solucao, #Rotas, clocks, clocks_melhor_sol
mgval_0.50_4C, 488.0, 5, 71040337, 1365644
mgval_0.50_4D, 580.0, 9, 73216605, 18159216
mgval_0.50_5A, 367.0, 3, 74223391, 3176580
mgval_0.50_5B, 378.0, 4, 64683284, 1758178
mgval_0.50_5C, 457.0, 5, 66849867, 6458282
mgval_0.50_5D, 539.0, 9, 64571486, 15757923
mgval_0.50_6A, 210.0, 3, 42350358, 840993
mgval_0.50_6B, 210.0, 4, 38274229, 552694
mgval_0.50_6C, 293.0, 10, 30754121, 985060
mgval_0.50_7A, 248.0, 4, 43410572, 175089
mgval_0.50_7B, 276.0, 4, 46633798, 972295
mgval_0.50_7C, 320.0, 9, 45630373, 1976698
mgval_0.50_8A, 388.0, 3, 69825768, 2182245
mgval_0.50_8B, 350.0, 4, 59121146, 1483808
mgval_0.50_8C, 501.0, 9, 41504174, 1312063
mgval_0.50_9A, 306.0, 3, 83674779, 7041057
mgval_0.50_9B, 278.0, 4, 86405756, 2088899
mgval_0.50_9C, 292.0, 5, 89000831, 6502755
mgval_0.50_9D, 358.0, 10, 79078737, 10359490
mgval_0.50_10A, 385.0, 3, 120169258, 10709347
mgval_0.50_10B, 369.0, 4, 109595275, 3526502
mgval_0.50_10C, 406.0, 5, 106783055, 8649013
mgval_0.50_10D, 457.0, 10, 116001889, 37879209
